parent,child,parent_gidx,child_gidx,parent_name,child_name,pair_type,parent_layer,child_layer,layer_gap,gidx_gap,rho_i,rho_o,rho
0_down,1_v,6,9,down,v,down->v,0,1,1,3,0.9559508483733393,0.703161986435159,0.6721882974765728
1_v,2_o,9,17,v,o,v->o,1,2,1,8,0.9254750077883316,0.5364001550310018,0.49642493765497864
0_down,2_v,6,16,down,v,down->v,0,2,2,10,0.8924893036440847,0.5553061874005242,0.49560483250234544
1_v,1_down,9,13,v,down,v->down,1,1,0,4,0.9544239250427178,0.5078181091145996,0.4846737529089273
2_o,2_up,17,18,o,up,o->up,2,2,0,1,0.9207572019821322,0.521367841149894,0.48005319462064117
1_v,2_up,9,18,v,up,v->up,1,2,1,9,0.9205438339206256,0.5143588925858861,0.4734899069921788
0_down,2_up,6,18,down,up,down->up,0,2,2,12,0.9394096936920106,0.48883289971312965,0.45921436458608844
1_down,2_v,13,16,down,v,down->v,1,2,1,3,0.8818815295909689,0.5195838238395116,0.458211377318313
2_v,2_up,16,18,v,up,v->up,2,2,0,2,0.8370599460406414,0.5392289855000909,0.45136698550625587
1_v,1_up,9,11,v,up,v->up,1,1,0,2,0.908617536840253,0.4917804181561596,0.44684031221131937
0_down,1_up,6,11,down,up,down->up,0,1,1,5,0.9303306867432518,0.47107418400877926,0.4382547691159046
2_v,2_o,16,17,v,o,v->o,2,2,0,1,0.7864827002251426,0.555278556249884,0.43671697829652745
1_v,2_gate,9,19,v,gate,v->gate,1,2,1,10,0.8919758443957904,0.46840905770792945,0.41780956477166686
2_o,2_gate,17,19,o,gate,o->gate,2,2,0,2,0.8875049896473006,0.47019096565105184,0.41729682810239105
1_up,2_v,11,16,up,v,up->v,1,2,1,5,0.8203248408270988,0.49537739334690867,0.40637038134664594
0_v,0_gate,2,5,v,gate,v->gate,0,0,0,3,0.7803635986914305,0.5191446572024111,0.40512159293590255
1_down,2_o,13,17,down,o,down->o,1,2,1,4,0.8746913359486025,0.45980451032221387,0.40218702140893026
1_up,2_o,11,17,up,o,up->o,1,2,1,6,0.9072851684985883,0.4421385678904851,0.4011457650682433
0_down,2_gate,6,19,down,gate,down->gate,0,2,2,13,0.8977010282584618,0.4421916397662777,0.3969558897054828
2_v,2_gate,16,19,v,gate,v->gate,2,2,0,3,0.813531828354609,0.48254883227558937,0.3925688337915418
2_v,2_down,16,20,v,down,v->down,2,2,0,4,0.8965689932005386,0.42426103685052796,0.38037929066329446
0_v,0_o,2,3,v,o,v->o,0,0,0,1,0.8387985563900842,0.4498399379454852,0.377325090555278
0_v,0_down,2,6,v,down,v->down,0,0,0,4,0.9427762131098212,0.392781757997459,0.37030529838346266
0_q,0_gate,0,5,q,gate,q->gate,0,0,0,5,0.6079656948793739,0.6047933077530506,0.36769358360647847
0_up,1_v,4,9,up,v,up->v,0,1,1,5,0.8226528386255411,0.44664357019466666,0.36743260087448865
1_o,1_down,10,13,o,down,o->down,1,1,0,3,0.8747235681624742,0.4199674884355163,0.36735545999654745
2_up,2_down,18,20,up,down,up->down,2,2,0,2,0.8694020469782072,0.4118313212610836,0.3580469937141258
0_q,0_k,0,1,q,k,q->k,0,0,0,1,0.6923350704028363,0.49130025260806853,0.34014439497833837
0_gate,1_v,5,9,gate,v,gate->v,0,1,1,4,0.8108581689138009,0.41475443635887715,0.3363070228148347
1_o,2_v,10,16,o,v,o->v,1,2,1,6,0.8197364150042837,0.40627110860364685,0.3330352220865695
0_q,0_v,0,2,q,v,q->v,0,0,0,2,0.6588919441670342,0.4895921218051622,0.32258830498506674
1_v,1_gate,9,12,v,gate,v->gate,1,1,0,3,0.8666140475208359,0.36041489234306273,0.3123406086402079
0_v,0_up,2,4,v,up,v->up,0,0,0,2,0.7796098158852123,0.39577708769678105,0.308551702470873
0_down,1_gate,6,12,down,gate,down->gate,0,1,1,6,0.8871765210688287,0.3459099216283702,0.3068831608734487
0_v,1_down,2,13,v,down,v->down,0,1,1,11,0.9432494867801356,0.32030539013936077,0.30212789486186314
0_q,0_up,0,4,q,up,q->up,0,0,0,4,0.5560819005709847,0.5297963161428317,0.29461014239621214
2_gate,2_down,19,20,gate,down,gate->down,2,2,0,1,0.8168207504639703,0.35767943983618555,0.2921599884725256
2_q,2_k,14,15,q,k,q->k,2,2,0,1,0.924429971936394,0.31422019333385126,0.2904745645054604
0_o,1_down,3,13,o,down,o->down,0,1,1,10,0.9265197655811066,0.31216624422552164,0.28922819542216477
1_q,1_k,7,8,q,k,q->k,1,1,0,1,0.8776989946443994,0.32255209140989455,0.28310364635091284
1_q,1_v,7,9,q,v,q->v,1,1,0,2,0.9185564386377235,0.29759997880340794,0.2733623766683204
0_up,1_k,4,8,up,k,up->k,0,1,1,4,0.7914213699624498,0.3356942162027442,0.26567557647564666
0_gate,1_k,5,8,gate,k,gate->k,0,1,1,3,0.7888897301545419,0.3315328717183798,0.261542877707273
1_gate,2_v,12,16,gate,v,gate->v,1,2,1,4,0.7889529450737599,0.32750948117006395,0.2583895697087011
0_up,2_v,4,16,up,v,up->v,0,2,2,12,0.778594094442168,0.3294966655006321,0.2565441578971786
1_gate,2_o,12,17,gate,o,gate->o,1,2,1,5,0.8661714882398925,0.2914945832968613,0.25248429702810965
0_gate,0_down,5,6,gate,down,gate->down,0,0,0,1,0.633294332603952,0.3849276919379529,0.2437725257666255
0_v,1_o,2,10,v,o,v->o,0,1,1,8,0.79987143438537,0.3002507319034844,0.24016198360289723
0_up,1_q,4,7,up,q,up->q,0,1,1,3,0.8253718038607735,0.282204199410116,0.23292338912421284
1_v,2_q,9,14,v,q,v->q,1,2,1,5,0.9188636743950926,0.24652186900252981,0.22651999037041023
0_up,0_down,4,6,up,down,up->down,0,0,0,2,0.5889848028279433,0.3784688957942852,0.2229124279659065
0_gate,2_v,5,16,gate,v,gate->v,0,2,2,11,0.7661918005320636,0.2880978511510118,0.22073821130281215
0_gate,1_q,5,7,gate,q,gate->q,0,1,1,2,0.8150216872335843,0.2663692622088196,0.21709672551259718
2_q,2_v,14,16,q,v,q->v,2,2,0,2,0.8310942827246683,0.2574686060174508,0.2139806864421935
0_v,1_q,2,7,v,q,v->q,0,1,1,5,0.92425592388461,0.22600004090846507,0.20888187660781302
1_o,2_down,10,20,o,down,o->down,1,2,1,10,0.6807041796108275,0.3061172919148677,0.2083753200575982
1_up,2_q,11,14,up,q,up->q,1,2,1,3,0.9048592149866113,0.22995069920030753,0.20807300916401264
0_up,2_q,4,14,up,q,up->q,0,2,2,10,0.8277612239177613,0.25133936744524366,0.20804898241519082
0_v,1_up,2,11,v,up,v->up,0,1,1,9,0.876334132746528,0.23454629021908902,0.20554091982806086
1_q,1_up,7,11,q,up,q->up,1,1,0,4,0.8994478312252036,0.22134779088049603,0.19909079045395203
0_up,2_o,4,17,up,o,up->o,0,2,2,13,0.7053115553497527,0.28210507571492355,0.19897196972455247
0_gate,2_q,5,14,gate,q,gate->q,0,2,2,9,0.816194093767503,0.24272069372446808,0.19810719665306187
0_k,0_o,1,3,k,o,k->o,0,0,0,2,0.5703809072467813,0.34523784491437787,0.1969170751981864
0_o,2_down,3,20,o,down,o->down,0,2,2,17,0.8715350767567908,0.22466584134963624,0.1958041612852842
0_down,1_q,6,7,down,q,down->q,0,1,1,1,0.7859418441099408,0.24717002300537033,0.19426126368953725
0_gate,1_o,5,10,gate,o,gate->o,0,1,1,5,0.5499170986156673,0.352540709630256,0.19386816418377883
1_k,1_up,8,11,k,up,k->up,1,1,0,3,0.85186851021709,0.22452803653099587,0.1912683639816278
0_up,2_k,4,15,up,k,up->k,0,2,2,11,0.818666992556557,0.23288940066758393,0.19065886524282993
1_up,1_down,11,13,up,down,up->down,1,1,0,2,0.6050769785147557,0.3094035513923971,0.18721296601824658
1_up,2_k,11,15,up,k,up->k,1,2,1,4,0.8983822298957695,0.20828121650979287,0.1871161437334713
1_q,2_v,7,16,q,v,q->v,1,2,1,9,0.791920036000439,0.23081717245570094,0.18278874352063823
0_k,0_gate,1,5,k,gate,k->gate,0,0,0,4,0.42561985226455884,0.4292557561516574,0.18269977151697991
1_q,1_gate,7,12,q,gate,q->gate,1,1,0,5,0.8640633709232063,0.21014088633664665,0.18157504261683324
