parent,child,parent_gidx,child_gidx,parent_name,child_name,pair_type,parent_layer,child_layer,layer_gap,gidx_gap,rho_i,rho_o,rho
1_v,1_down,9,13,v,down,v->down,1,1,0,4,0.9703194614941457,1.1936928680665062,1.1582634209316947
0_down,1_v,6,9,down,v,down->v,0,1,1,3,0.9727579906603577,1.0391108727796365,1.0108034046784498
1_down,2_v,13,16,down,v,down->v,1,2,1,3,0.8775486490457444,1.1321041540353263,0.9934764709527758
1_down,2_o,13,17,down,o,down->o,1,2,1,4,0.9234884123260159,1.0393767246022436,0.9598523612115406
0_v,1_down,2,13,v,down,v->down,0,1,1,11,0.9599330496356379,0.9761366247800228,0.9370258070861257
0_o,1_down,3,13,o,down,o->down,0,1,1,10,0.9565354843420667,0.9781143008559792,0.935601036511176
1_o,1_down,10,13,o,down,o->down,1,1,0,3,0.9068224617190502,0.9436149069752048,0.8556911928580477
1_v,2_o,9,17,v,o,v->o,1,2,1,8,0.9390004553832676,0.8089863827707713,0.7596385818206166
2_up,3_v,18,23,up,v,up->v,2,3,1,5,0.9340559045421075,0.7873428094285454,0.7354222000455042
1_v,2_up,9,18,v,up,v->up,1,2,1,9,0.9429882134864158,0.772919579194004,0.7288540531528261
0_v,0_down,2,6,v,down,v->down,0,0,0,4,0.9540694543873081,0.762807546548845,0.7277713797383776
2_o,2_up,17,18,o,up,o->up,2,2,0,1,0.9374725922796919,0.7705185955142643,0.7223400651364648
2_v,2_up,16,18,v,up,v->up,2,2,0,2,0.8832490390152267,0.8043533887321521,0.7104443576263144
2_o,3_v,17,23,o,v,o->v,2,3,1,6,0.8704379404687305,0.8131405154009322,0.7077883555372695
0_down,1_up,6,11,down,up,down->up,0,1,1,5,0.9537088334018349,0.7380394530639399,0.7038747457861384
2_v,2_o,16,17,v,o,v->o,2,2,0,1,0.8381128087732896,0.8369431877974969,0.7014528059086309
6_up,7_v,46,51,up,v,up->v,6,7,1,5,0.9602123742283177,0.7304563839646963,0.7013932587169727
8_up,9_v,60,65,up,v,up->v,8,9,1,5,0.9706040757651181,0.7074460946045041,0.686650062807247
6_v,6_up,44,46,v,up,v->up,6,6,0,2,0.9610368185673028,0.6979618525330513,0.6707670382397046
1_v,2_gate,9,19,v,gate,v->gate,1,2,1,10,0.9122717183628215,0.7243840640905095,0.6608350949024933
1_v,1_up,9,11,v,up,v->up,1,1,0,2,0.9310230141284118,0.702642592011286,0.6541764238693474
7_v,8_up,51,60,v,up,v->up,7,8,1,9,0.9596036913765907,0.6771659438072275,0.6498109393519286
2_gate,3_v,19,23,gate,v,gate->v,2,3,1,4,0.9040469470507045,0.7156112196608434,0.6469461384096166
2_v,2_down,16,20,v,down,v->down,2,2,0,4,0.9127475335646557,0.7055613135666093,0.6439993487365613
8_v,8_up,58,60,v,up,v->up,8,8,0,2,0.9655618356691804,0.665105723124531,0.6422007029341998
2_o,2_gate,17,19,o,gate,o->gate,2,2,0,2,0.8915189243307503,0.7155100923271841,0.637890787859327
2_v,2_gate,16,19,v,gate,v->gate,2,2,0,3,0.8562384349105483,0.7444195616480467,0.6374006403823199
5_up,6_v,39,44,up,v,up->v,5,6,1,5,0.9586919544967726,0.6603010673388604,0.6330253208033971
6_v,6_gate,44,47,v,gate,v->gate,6,6,0,3,0.9526971356891782,0.6484164205916834,0.6177444666315263
6_gate,7_v,47,51,gate,v,gate->v,6,7,1,4,0.9516913132206742,0.6439695552656561,0.6128602317249059
8_up,8_down,60,62,up,down,up->down,8,8,0,2,0.9814109264317048,0.6244451615397613,0.6128373044925327
13_v,14_o,93,101,v,o,v->o,13,14,1,8,0.8857587457486389,0.6916470632953404,0.6126324352852102
1_up,2_v,11,16,up,v,up->v,1,2,1,5,0.8625407198279502,0.7080698552742616,0.6107390826567342
8_down,9_v,62,65,down,v,down->v,8,9,1,3,0.9780481332992415,0.6242071005077647,0.6105045894437513
3_v,3_up,23,25,v,up,v->up,3,3,0,2,0.9315158928856186,0.6508986278933622,0.6063224165401093
7_v,7_up,51,53,v,up,v->up,7,7,0,2,0.9656512425642668,0.6225859759136794,0.6012009212441312
3_up,4_v,25,30,up,v,up->v,3,4,1,5,0.9173804722582708,0.6542173534691024,0.6001662246850412
7_up,8_v,53,58,up,v,up->v,7,8,1,5,0.9716195152201001,0.6166823084515599,0.5991805655825169
1_up,2_o,11,17,up,o,up->o,1,2,1,6,0.9255394825942673,0.6470055025891077,0.5988291381019667
7_o,8_up,52,60,o,up,o->up,7,8,1,8,0.9137602542260661,0.6536376382917094,0.5972680945371578
8_gate,9_v,61,65,gate,v,gate->v,8,9,1,4,0.963037030468221,0.6172364917466658,0.5944215981083316
4_v,5_up,30,39,v,up,v->up,4,5,1,9,0.9229102086584661,0.6435261091078902,0.5939168156339337
5_v,6_up,37,46,v,up,v->up,5,6,1,9,0.9193702952840498,0.645906642110747,0.5938273802832865
12_gate,13_v,89,93,gate,v,gate->v,12,13,1,4,0.89993449276605,0.6579508192910968,0.5921126368237402
14_v,14_down,100,104,v,down,v->down,14,14,0,4,0.9759034589613714,0.6062378227144751,0.5916295881402669
6_v,7_up,44,53,v,up,v->up,6,7,1,9,0.9666471272606771,0.6107201732084024,0.5903509009920453
6_o,6_up,45,46,o,up,o->up,6,6,0,1,0.9208375504620562,0.6393773771472859,0.588762697793161
7_v,8_gate,51,61,v,gate,v->gate,7,8,1,10,0.9523218766552533,0.6106365074679664,0.5815225047461033
4_v,4_up,30,32,v,up,v->up,4,4,0,2,0.9206922199855749,0.6304448637014619,0.5804456811398022
6_v,7_gate,44,54,v,gate,v->gate,6,7,1,10,0.9551624761450569,0.6029986723133812,0.575961704959031
8_v,8_gate,58,61,v,gate,v->gate,8,8,0,3,0.9580684411644319,0.6010743187893915,0.5758703356265251
14_v,15_o,100,108,v,o,v->o,14,15,1,8,0.9705586602895584,0.5930770979234061,0.5756161136089603
7_v,7_gate,51,54,v,gate,v->gate,7,7,0,3,0.9543086847296851,0.6017697565532829,0.5742741048864662
2_up,2_down,18,20,up,down,up->down,2,2,0,2,0.8889045170086598,0.6441996918161604,0.5726320159109716
3_v,4_up,23,32,v,up,v->up,3,4,1,9,0.9345518585921848,0.6123897427335188,0.5723099722543998
1_o,2_v,10,16,o,v,o->v,1,2,1,6,0.8342201541611605,0.6750889612955792,0.5631728173644958
2_v,3_up,16,25,v,up,v->up,2,3,1,9,0.8733530788378363,0.6440573222955877,0.5624894453749041
5_v,5_up,37,39,v,up,v->up,5,5,0,2,0.9174193327841782,0.6129359063485863,0.5623192502417855
6_v,6_o,44,45,v,o,v->o,6,6,0,1,0.9077350692975886,0.6178110921410153,0.5608087945374434
2_o,3_up,17,25,o,up,o->up,2,3,1,8,0.9352733746311391,0.5984660381605624,0.5597293511125573
6_up,7_o,46,52,up,o,up->o,6,7,1,6,0.8611781712026799,0.6475894415988983,0.557689891006304
7_gate,8_v,54,58,gate,v,gate->v,7,8,1,4,0.9603219071754155,0.5797490705852142,0.5567457331475675
