pair_type,count,layer_support,mean_rho,max_rho
v->up,16,16,0.527762480502346,0.7104443576263144
v->gate,16,16,0.48235321941111553,0.6374006403823199
v->down,16,16,0.47458550535043287,1.1582634209316947
up->down,16,16,0.3424672558120679,0.6128373044925327
o->up,16,16,0.30451785681493776,0.7223400651364648
gate->down,16,16,0.2991852863313136,0.5375123002124881
v->o,16,16,0.29830997421235034,0.7014528059086309
q->v,16,16,0.29628257451352163,0.4200315925197096
o->down,16,16,0.2869242382031728,0.8556911928580477
o->gate,16,16,0.280473277551072,0.637890787859327
q->up,16,16,0.27696241255609133,0.406940645545781
q->gate,16,16,0.24834247367205373,0.39644567691175364
q->k,16,16,0.23644623694800257,0.3478398540803214
k->up,16,16,0.20801110317308522,0.295536051085582
k->gate,16,16,0.19475487728168037,0.2732011075491946
q->down,16,16,0.14852890909139674,0.36770121281568147
k->o,16,16,0.12206671281092642,0.2571713764578703
k->down,16,16,0.09719778237738536,0.18441900060967414
up->gate,16,16,0.008878956302409325,0.057843179364601045
k->v,16,16,0.0016650714674714873,0.0069526480378995885
q->o,16,16,3.017877547453477e-05,0.00020062392142520153
